system:index,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,deforestation,geometry_name,year,.geo
91,0.7791482969540409,0.03249205078632085,0.050813237118520926,0.04171889017051306,0.2999465582086964,0.15529597860895478,0.06653571288296947,0.023812167778760166,donor1,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.7465838958556579,0.05511098800991881,0.06826207005976066,0.05985023778765592,0.3015787462349915,0.17026795629837052,0.07272498565627138,0.006811008310046782,donor2,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0.7684331527613737,0.03722935600947453,0.055918363679281186,0.04599090077488964,0.3129706865162851,0.1640466703282706,0.07141180882189224,0.02665124875255526,donor3,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.7517200246557243,0.03156003470415285,0.05091964797399949,0.04333880543209841,0.27840251645822006,0.1622409318871288,0.07188214016353743,0.1195880694902459,donor4,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0.6955462995606876,0.042983286721883944,0.0644097784212382,0.06026122385272119,0.29277308832244986,0.20092506433104043,0.09729422332277812,0.016722038396470552,donor5,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.731218679838384,0.040007241221436264,0.05875197922859735,0.04891754669928858,0.2923816672071079,0.14745462755843514,0.07359553461575671,5.307158311424916E-5,treated,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0.7765502197897668,0.03293517163515089,0.051990344140776634,0.043123748792527394,0.3095588089486521,0.15898629206750353,0.07009035659955601,0.041385137696810216,donor1,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0.7397129462575323,0.0509542599580276,0.06627256965423733,0.05748348131315496,0.31784313976777023,0.1636610051244146,0.07527676982484079,0.014933983658765703,donor2,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.6810508194048661,0.09113011581234691,0.09836429429467111,0.09227297598061714,0.3273390021535183,0.18807493725011176,0.08470439011016886,0.007616612511461727,donor3,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.6842165055715896,0.05872390065035482,0.0760555973878876,0.07027872235147138,0.31177827523333884,0.18285985987255535,0.08856656059545516,0.029455852462936426,donor4,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0.7459309114712072,0.02593071055907749,0.05154620924135272,0.044240859279074604,0.29767256855905994,0.1836218939336045,0.08361396898169517,0.010627948056602691,donor5,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,0.846208480954095,0.018281275936392748,0.03668625386711647,0.024871735512772063,0.282698868280127,0.12955593653370737,0.04806128011824493,9.19236991288062E-5,treated,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
