"system.index","B1","B2","B3","B4","B5","B7","B8","NDVI","date","gain","loss","lossyear","treecover2000",".geo","time","treatment","new_index","yearly_loss"
"22_0",0.13351297,0.11274664,0.09248736,0.25984508,0.14714772,0.07834198,0.16871575,0.47499946,"2007-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2007,"0","22_0_treated",0
"22_0",0.15564232,0.14749746,0.13199954,0.32910502,0.20036998,0.11579335,0.20966402,0.42746374,"2008-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2008,"0","22_0_treated",0
"22_0",0.09347412,0.07785475,0.050938077,0.30391052,0.14886111,0.0535198,0.16857997,0.7129025,"2009-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2009,"0","22_0_treated",1
"22_0",0.10470787,0.083200246,0.05447985,0.29398623,0.13860846,0.046602055,0.16232981,0.6873162,"2010-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2010,"0","22_0_treated",1
"22_0",0.09271035,0.07608987,0.046834216,0.29516664,0.13354047,0.044120904,0.1572675,0.72611636,"2011-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2011,"0","22_0_treated",1
"22_0",0.09465125,0.06736044,0.043557137,0.2204726,0.085978076,0.027172059,0.12345773,0.67005885,"2012-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2012,"1","22_0_treated",1
"22_0",0.2605078,0.2557793,0.2566422,0.45858416,0.37457466,0.25276515,0.3964478,0.28234693,"2013-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2013,"1","22_0_treated",1
"22_0",0.09973387,0.084763736,0.059203506,0.28451705,0.13957602,0.057478018,0.15605794,0.6555137,"2014-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2014,"1","22_0_treated",1
"22_0",0.091854356,0.07721179,0.048478816,0.30931714,0.14238328,0.04879232,0.16624965,0.72901416,"2015-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2015,"1","22_0_treated",1
"23_0",0.098327346,0.082319774,0.053312805,0.34599438,0.15205112,0.051668603,0.18744235,0.73297346,"2001-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2001,"0","23_0_treated",0
"23_0",0.08990053,0.073633395,0.056406792,0.27329403,0.17975989,0.07507448,0.15107407,0.6578304,"2002-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2002,"0","23_0_treated",1
"23_0",0.10751336,0.10618351,0.07557563,0.36728597,0.18939053,0.08043407,0.20974182,0.65869415,"2003-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2003,"0","23_0_treated",1
"23_0",0.10015108,0.08792583,0.070110984,0.2621485,0.18441062,0.07441173,0.17999466,0.5779745,"2004-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2004,"0","23_0_treated",1
"23_0",0.104238935,0.0992027,0.073905654,0.31269845,0.18938105,0.07532305,0.18587774,0.6176675,"2005-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2005,"0","23_0_treated",1
"23_0",0.118743874,0.11092354,0.09498548,0.29167667,0.21409664,0.100805245,0.18706346,0.50869006,"2006-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2006,"0","23_0_treated",1
"23_0",0.10394664,0.09523302,0.07783872,0.27034065,0.22363156,0.09775089,0.17315781,0.5528815,"2007-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2007,"0","23_0_treated",1
"23_0",0.15723541,0.14534396,0.1377092,0.2822503,0.26524237,0.14699897,0.21071404,0.34417865,"2008-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2008,"0","23_0_treated",1
"23_0",0.09821938,0.08946081,0.07083419,0.27673396,0.2016618,0.087411284,0.1626744,0.59240115,"2009-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2009,"0","23_0_treated",1
"23_0",0.11528584,0.10335993,0.09843334,0.27038953,0.27958995,0.15252583,0.17590556,0.46622974,"2010-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2010,"0","23_0_treated",1
"23_0",0.10487577,0.09528385,0.06114657,0.51166695,0.25091133,0.093378186,0.26079568,0.78650445,"2011-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2011,"0","23_0_treated",1
"23_0",0.09895305,0.07985141,0.04789165,0.3899868,0.1582964,0.05751152,0.201346,0.78125596,"2012-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2012,"1","23_0_treated",1
"23_0",0.2115756,0.22218442,0.20122948,0.5230539,0.13736716,0.041909248,0.32679823,0.44433492,"2013-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2013,"1","23_0_treated",1
"23_0",0.085307226,0.0697414,0.046184197,0.3217825,0.14559254,0.043788284,0.16839729,0.74897623,"2014-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2014,"1","23_0_treated",1
"23_0",0.09922981,0.07483149,0.051077817,0.30438587,0.12749915,0.043174103,0.16192183,0.71261305,"2015-01-01",0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}",2015,"1","23_0_treated",1
"35_0",0.09619627,0.07608704,0.047662497,0.30999678,0.13180755,0.04425834,0.1740258,0.7334754,"2001-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2001,"0","35_0_treated",0
"35_0",0.08651861,0.069638014,0.041904256,0.34207156,0.14161438,0.046692595,0.17591812,0.78173494,"2002-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2002,"0","35_0_treated",0
"35_0",0.083335005,0.06594066,0.039358214,0.31143507,0.1337637,0.04027754,0.15575692,0.77560455,"2003-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2003,"0","35_0_treated",0
"35_0",0.087046705,0.06119611,0.036385268,0.2168965,0.08732891,0.026812922,0.11659462,0.7126894,"2004-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2004,"0","35_0_treated",0
"35_0",0.11175472,0.097304076,0.07287833,0.33468056,0.15627845,0.06803184,0.17247587,0.64236665,"2005-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2005,"0","35_0_treated",0
"35_0",0.091684386,0.07557421,0.04668133,0.33201587,0.14207456,0.044900034,0.17947254,0.75346357,"2006-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2006,"0","35_0_treated",0
"35_0",0.095854916,0.07958417,0.045483686,0.33386782,0.14282715,0.04371482,0.17436898,0.76020294,"2007-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2007,"0","35_0_treated",0
"35_0",0.09760103,0.08020892,0.05472655,0.30731344,0.13389696,0.049768686,0.2318696,0.6976768,"2008-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2008,"0","35_0_treated",0
"35_0",0.082256734,0.06841949,0.043486338,0.30731347,0.13514079,0.04211689,0.15767731,0.75207317,"2009-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2009,"0","35_0_treated",0
"35_0",0.101600625,0.08824906,0.07194834,0.27014226,0.22344083,0.11426135,0.16137022,0.5793609,"2010-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2010,"0","35_0_treated",0
"35_0",0.10512781,0.0881359,0.078343414,0.21553977,0.23756231,0.14749987,0.13888083,0.46683976,"2011-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2011,"0","35_0_treated",0
"35_0",0.0935016,0.08409695,0.051385537,0.3012119,0.16020995,0.061573196,0.14511238,0.70853144,"2012-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2012,"1","35_0_treated",0
"35_0",0.11894639,0.083445445,0.066142306,0.20807117,0.18908751,0.09819921,0.1418881,0.5175853,"2013-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2013,"1","35_0_treated",0
"35_0",0.0953072,0.081402995,0.061206352,0.28907308,0.18981782,0.07897354,0.15631765,0.65052843,"2014-01-01",0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}",2014,"1","35_0_treated",1
