"geometry_name","ATT_SC","Pre.RMSE_SC","Post.RMSE_SC","Ratio.Post.Pre_SC","order.x","rank.x","ATT_SCMO","Pre.RMSE_SCMO","Post.RMSE_SCMO","Ratio.Post.Pre_SCMO","order.y","rank.y","SCMO_wins_SC","centroid_lat","centroid_lon"
"donor147.0",-0.0105254823197857,0.00622145476842732,0.0189573266273209,3.04708903832681,28,0.239316239316239,4.84639985182433e-05,0.000434759364131653,0.0061183264114877,14.0729031189653,31,0.26271186440678,TRUE,-3.61844849437946,-48.6076395918129
"donor67.0",-0.0045458530462266,0.00432897468591666,0.0130098046417205,3.00528545108961,29,0.247863247863248,-0.0178887076655212,0.00109405805686763,0.0235238729983269,21.5014850909077,24,0.203389830508475,FALSE,-3.00141438198874,-50.5479623466126
"donor51.0",-0.00711772669471007,0.00280967968958457,0.00826567387978195,2.94185629430382,30,0.256410256410256,-0.0145215563843994,0.000811933805320065,0.0301452534985082,37.1277230988368,13,0.110169491525424,FALSE,-8.94207116805501,-56.4613495604576
"donor95.0",0.01149369943324,0.00798082474395496,0.0228135049386089,2.85853977132989,31,0.264957264957265,0.00855222059648576,0.00373615943091778,0.0221952133550005,5.94064941964972,66,0.559322033898305,TRUE,-2.34402828598158,-49.0707646435161
"donor32.0",0.0183785182614235,0.0110259392355897,0.0308399145216851,2.79703287518034,32,0.273504273504274,0.000654199524788803,0.00531221678407785,0.00960880679694575,1.80881300359314,100,0.847457627118644,TRUE,-8.16394105444207,-54.9209759480405
"donor33.0",-0.000114463116701003,0.00042868869371085,0.00108973204415162,2.54201256095325,33,0.282051282051282,0.00580001264541928,0.00146682677690102,0.00606991348190699,4.13812563111981,74,0.627118644067797,FALSE,-2.25872115713851,-54.089650273451
"donor1.0",-0.00613315372116566,0.00424206716716155,0.0106716331430545,2.51566812182163,34,0.290598290598291,-0.0104203298934784,0.00189446761037065,0.0147928463553343,7.80844511373838,56,0.474576271186441,FALSE,-2.89350999227869,-50.3376162254021
"donor48.0",0.0139496732848011,0.0140444002136269,0.0347641005718111,2.47529976667003,35,0.299145299145299,0.00523466072163731,0.00363754410689641,0.0300202114021088,8.25287900844791,53,0.449152542372881,TRUE,-6.77908411961455,-55.3372291645469
"donor128.0",0.0169882220031884,0.00840012967177485,0.0199927557825171,2.38005323295121,36,0.307692307692308,0.0109033219666439,0.00176926715591378,0.0140834915653947,7.96007065316317,54,0.457627118644068,TRUE,-4.77267355793515,-55.8558185534713
"donor149.0",0.0178481484127378,0.0107188666336238,0.0229520704562964,2.1412777340002,37,0.316239316239316,0.016546682666721,0.00436060649582494,0.0269175878229889,6.17289999653972,64,0.542372881355932,TRUE,-3.58700277379206,-50.3358602158596
"donor77.0",-3.53580424619951e-05,0.00253205794834588,0.00521675931856279,2.06028433194855,38,0.324786324786325,0.00099580964405916,0.000534910411945866,0.00415732337478787,7.77199935156357,57,0.483050847457627,FALSE,-1.31241491016141,-56.1607297768669
"donor121.0",-0.00618470788422291,0.00854290378705348,0.0154342147422959,1.80667079098866,39,0.333333333333333,-0.00548761172096245,0.00414375246860467,0.0154989495896675,3.74031743138519,80,0.677966101694915,TRUE,-9.6479186154713,-50.1713771538514
"donor26.0",0.00666959664495234,0.00806695186542484,0.0142892369754905,1.77133038771863,40,0.341880341880342,0.00727278075990459,0.00385628036402942,0.00967946955618205,2.51005337850176,90,0.76271186440678,FALSE,-1.65869308710375,-48.2692870325657
"donor5.0",0.0011840625101929,0.0043762258529493,0.007550927658559,1.72544286156304,41,0.35042735042735,0.00373519325981008,0.00199772101511702,0.00811975568226288,4.06450931877855,76,0.64406779661017,FALSE,-8.49112472372108,-50.4644954870115
"donor64.0",0.00925966078674015,0.0113065199035598,0.0193091901739876,1.70779252490488,42,0.358974358974359,0.0125194140886992,0.00202187453248484,0.0193017219774389,9.54644893504717,48,0.406779661016949,FALSE,-7.06306601993494,-49.2351816188528
"donor86.0",-0.00359769003757421,0.00518455600900609,0.00835192878514106,1.61092459424354,43,0.367521367521368,0.00136837121456405,0.00123107068467467,0.00968579963098892,7.86778513335205,55,0.466101694915254,TRUE,-7.6059347072806,-50.3552253055666
"donor127.0",-0.00988306139309333,0.0067274914755227,0.0108045471786254,1.60602911470592,44,0.376068376068376,0.00164571239617778,0.00101198826299056,0.00541435193618975,5.3502121854552,68,0.576271186440678,TRUE,-5.80336573936594,-49.5518094408783
